sec,rms,F1,F2,F3,F4,f0,c
1.53,-19.954919815063477,1035.157,1546.968,2997.581,4081.759,333.333,0.691
1.54,-21.044416427612305,1116.889,1645.501,2925.955,4117.557,342.857,0.856
1.55,-21.993370056152344,1004.008,1622.59,2857.705,4114.396,342.857,0.805
1.56,-23.862741470336914,867.49,1522.85,2752.06,4101.586,342.857,0.674
1.57,-27.713891983032227,880.567,1716.085,2753.043,4180.394,342.857,0.598
1.58,-28.531780242919922,999.175,1655.226,2869.943,4219.751,333.333,0.59
1.59,-30.030948638916016,984.832,1556.657,2902.185,4246.09,324.324,0.615
1.6,-32.050472259521484,958.354,1583.736,2947.815,4312.723,324.324,0.551
1.61,-33.41973876953125,1041.707,1577.671,2989.768,4252.492,333.333,0.562
1.62,-34.413246154785156,1149.699,2037.605,2964.849,4257.203,144.578,0.519
1.63,-34.85822296142578,1095.559,2057.836,2935.709,4365.399,117.647,0.465
1.64,-29.721033096313477,1097.924,2132.006,2916.285,4287.794,352.941,0.747
1.65,-26.2491512298584,410.549,1659.074,2835.73,4240.809,352.941,0.648
1.66,-23.90558624267578,337.83,1775.148,2863.649,4275.792,333.333,0.574
1.67,-21.836071014404297,321.33,1839.192,2948.13,4205.793,315.789,0.698
1.68,-21.623607635498047,359.027,1910.636,3081.817,4185.913,307.692,0.792
1.69,-21.112136840820312,856.692,1935.117,2946.886,4244.547,300.0,0.854
1.7,-19.467458724975586,865.603,1758.105,2724.343,4348.48,285.714,0.834
1.71,-19.036296844482422,683.118,1693.904,2720.453,4385.561,272.727,0.775
1.72,-19.890653610229492,533.266,1691.674,2768.221,4155.466,260.87,0.735
1.73,-19.821277618408203,481.611,1856.054,3009.912,4132.23,255.319,0.67
1.74,-20.12504768371582,393.901,1809.185,3039.27,4097.47,240.0,0.581
1.75,-20.99454689025879,267.569,1789.08,2992.455,4169.668,82.759,0.483
1.76,-20.838956832885742,225.132,1801.659,3022.19,4174.312,214.286,0.736
1.77,-21.589757919311523,222.129,1815.582,2987.172,4155.839,214.286,0.545
1.78,-19.854419708251953,463.384,1647.262,2821.709,4157.237,235.294,0.601
1.79,-17.357006072998047,525.6,1445.238,2732.259,4271.516,235.294,0.717
1.8,-15.524412155151367,671.813,1510.208,2716.686,4303.208,230.769,0.822
1.81,-13.690486907958984,697.014,1526.249,2692.553,4283.435,226.415,0.872
1.82,-13.260683059692383,716.575,1554.638,2747.102,4270.602,226.415,0.845
1.83,-14.152175903320312,763.631,1582.926,2821.092,4269.906,226.415,0.813
1.84,-14.301834106445312,762.705,1570.936,2919.494,4281.49,222.222,0.849
1.85,-13.788698196411133,765.291,1559.981,3189.357,4385.239,222.222,0.861
1.86,-13.375264167785645,789.587,1560.985,3188.789,4377.969,222.222,0.813
1.87,-13.344489097595215,809.303,1534.713,2879.136,4250.236,218.182,0.799
1.88,-13.86849594116211,813.941,1495.733,2784.476,4204.678,218.182,0.782
1.89,-14.96316909790039,821.506,1457.461,2789.558,4226.509,214.286,0.762
1.9,-16.088821411132812,813.359,1410.668,2842.549,4131.36,210.526,0.776
1.91,-15.846893310546875,775.717,1375.729,2750.779,4096.372,210.526,0.565
1.92,-15.692051887512207,764.968,1320.879,2743.487,4157.555,104.348,0.498
1.93,-15.297146797180176,744.723,1258.192,2707.107,4058.275,226.415,0.46
1.94,-15.380073547363281,697.042,1258.638,2666.554,4070.035,97.561,0.507
1.95,-15.855646133422852,690.012,1214.453,2733.176,4180.527,99.174,0.505
1.96,-16.010784149169922,659.265,1219.075,2907.029,4229.635,98.361,0.476
1.97,-16.977378845214844,572.881,1407.706,2935.543,4033.643,285.714,0.621
